DCSname,uuid,CATss,CAT
Snowboard/Boots/Womens',12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots,"Snowboard/Boots/Women',"
Snowboard/Boots/Youth',12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots,"Snowboard/Boots/Youth',"
Snowboard/Socks/Adult',743ba06a-8f4d-4fa2-9b4a-7e9cdfc05e06,Snowboarding > Apparel & Outerwear > Socks,"Snowboard/Accessory',"
Snowboard/Socks/Youth',743ba06a-8f4d-4fa2-9b4a-7e9cdfc05e06,Snowboarding > Apparel & Outerwear > Socks,"Snowboard/Accessory',"
Stupid/Misc/Crap',,,"Misc',"
Wakeboard/Accessory',9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories","Watersport/Wakeboard/Accessory',"
Wakeboard/Bags',,,"Watersport/Wakeboard/Accessory',"
Wakeboard/Board/Mens',6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards","Watersport/Wakeboard/Board',"
Wakeboard/Boots/Unisex',,,"Watersport/Wakeboard/Accessory',"
Wakeboard/Boots/Womens',,,"Watersport/Wakeboard/Accessory',"
Wakeboard/Packages/Unisex',6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards","Watersport/Wakeboard/Package Deals',"
Wakeboard/Packages/Womens',6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards","Watersport/Wakeboard/Package Deals',"
Wakeboard/Packages/Youth',6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards","Watersport/Wakeboard/Package Deals',"
Wakeboard/Surf/Accessory',9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories","Watersport/Wakeboard/Accessory',"
Wakeboard/Surf/Bag',,,"Watersport/Wakeboard/Accessory',"
Wakeboard/Wakeskate',,,"Watersport/Wakesurf',"
Wakeboard/Wakesurfs',,,"Watersport/Wakesurf',"
Watersport/Kneeboard/Board',,,"Watersport/Kneeboard',"
Watersport/Rashguard/Mens',c93138b0-7113-4534-aa0b-60ae49537ae1,"Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards","Watersport/Outfit/Rashguard',"
Watersport/Rashguard/Womens',c93138b0-7113-4534-aa0b-60ae49537ae1,"Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards","Watersport/Outfit/Rashguard',"
Watersport/Ski/Accessory',9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories","Watersport/Water Ski/Accessory',"
Watersport/Ski/Bag',,,"Watersport/Water Ski/Accessory',"
Watersport/Ski/Bindings',e58e280b-8741-4621-ae41-6b9cf5bc2aca,"Surf, Wake & Water Sports > Bindings > Water Ski Bindings","Watersport/Water Ski/Accessory',"
Watersport/Ski/Combo',a0d7e5fc-a91e-4579-b36e-324e18c723e3,"Surf, Wake & Water Sports > Water Skis","Watersport/Water Ski/Combo',"
Watersport/Ski/Handle',,,"Watersport/Water Ski/Handle',"
Watersport/Ski/Single',,,"Watersport/Water Ski/Single',"
Watersport/Towable/Accessory',9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories","Watersport/Towable/Accessory',"
Watersport/Towable/Tube',,,"Watersport/Towable/Tube',"
Watersport/Wetsuit/Mens',c93138b0-7113-4534-aa0b-60ae49537ae1,"	Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards","Watersport/Outfit/Wetsuit',"
Watersport/Wetsuit/Womens',c93138b0-7113-4534-aa0b-60ae49537ae1,"	Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards","Watersport/Outfit/Wetsuit',"
Watersport/Wetsuit/Youth',c93138b0-7113-4534-aa0b-60ae49537ae1,"Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards","Watersport/Outfit/Wetsuit',"
Winter/Equipment',,,"Misc',"
Women/Outerwear/Suit',,,"Outerwear/Suit',"
Womens/Baselayer/Bottom',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Women',"
Womens/Baselayer/Suit',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Women',"
Womens/Baselayer/Top',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Women',"
Womens/Lifestyle/Accessory',c56cd2dc-3e19-430c-ae53-3007408d4040,Apparel > Other,"Lifestyle/Women/Accessory',"
Womens/Lifestyle/Dress',,,"Lifestyle/Women/Dress',"
Womens/Lifestyle/Jacket',ef55e795-41f6-4132-8580-630409e6a158,Apparel > Jackets & Coats,"Lifestyle/Women/Jacket',"
Womens/Lifestyle/Jumpsuit',,,"Lifestyle/Women',"
Womens/Lifestyle/Pants',72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants,"Lifestyle/Women/Pants',"
Womens/Lifestyle/Shoes',0afa7c6e-08da-4654-875e-f38e3e63be62,"Footwear > Turfs, Indoor, Sneakers & Training","Lifestyle/Women/Shoes',"
Womens/Lifestyle/Shorts',4ead05ea-264a-487b-800a-e60255bf109f,Apparel > Shorts,"Lifestyle/Women/Shorts',"
Womens/Lifestyle/Top',42b1a293-c06b-4b44-b0b9-04f49e809e57,Apparel > Shirts,"Lifestyle/Women/Tops',"
Womens/Midlayer',16a1a4eb-882b-4563-b4bd-285add085a39,Apparel > Base Layers & Compression,"Outerwear/Midlayer/Women',"
Womens/Outerwear/Gloves',d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens,"Outerwear/Gloves/Women',"
Womens/Outerwear/Jacket',c101d61d-eaeb-4b55-af1b-6d4c42f6d942,Skiing > Apparel & Outerwear > Jackets & Coats,"Outerwear/Jacket/Women',"
Womens/Outerwear/Mittens',d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens,"Outerwear/Mittens/Women',"
Womens/Outerwear/Pants',72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants,"Outerwear/Pants/Women',"
Womens/Swimwear',b206bbc5-7ee6-4a3d-9d9f-2f3cb6cb8449,Apparel > Swimsuits,"Lifestyle/Women/Swimwear',"
Youth/Baselayer/Bottom',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Youth',"
Youth/Baselayer/Suit',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Youth',"
Youth/Baselayer/Top',bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers,"Outerwear/Base Layer/Youth',"
Youth/Outerwear/Gloves',d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens,"Outerwear/Gloves/Youth',"
Youth/Outerwear/Jacket',c101d61d-eaeb-4b55-af1b-6d4c42f6d942,Skiing > Apparel & Outerwear > Jackets & Coats,"Outerwear/Jacket/Youth',"
Youth/Outerwear/Mittens',d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens,"Outerwear/Mittens/Youth',"
Youth/Outerwear/Pants',72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants,"Outerwear/Pants/Youth',"
Clearance/Climbing',,,"Clearance/Climbing',"
Clearance/Headwear',,,"Clearance/Headwear',"
Clearance/Water Sports',,,"Clearance/Water Sports',"
Clearance/Outerwear',,,"Clearance/Outerwear',"
Clearance/Headwear',,,"Clearance/Headwear',"
Clearance/Ski',,,"Clearance/Ski',"
Clearance/Ski/Bindings',89bc2302-30cc-4da7-af5c-b5eeda4caf4c,Skiing > Bindings > Downhill Bindings,"Clearance/Ski/Bindings',"
Clearance/Ski/Boots',"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots,"Clearance/Ski/Boots',"
Clearance/Ski',,,"Clearance/Ski',"
Clearance/Ski/Youth',,,"Clearance/Ski/Youth',"
Clearance/Snowboard',,,"Clearance/Snowboard',"
Clearance/Snowboard/Boots',12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots,"Clearance/Snowboard/Boots',"
Clearance/Snowboard',,,
Clearance/Snowboard/Youth',,,
Clearance/Snowshoe',,,
Clearance/Snowshoe/Youth',,,
Clearance/SUP',,,
Clearance/Water Sports',,,
Clearance/X-Country',,,
